version,interestingApp,status,name,latestUpdate,storeName,releaseDate,providerCategory,healthEntityInvolved,EU,geographicCoverage,continents,appCategory,appFunctionalityCategory,appFunctionality,typesOfPersonalData ,clearPrivacyPolicy 
1,yes,active,geoHealthApp Covid19 Tracker,2020-05-06T11:55:16,AppStore (iOS),2020-05-06T11:55:16Z,health company,consortium,no,CHE,Europe,covid-19 specific,information exchange; contact tracing; notifications,symptoms monitoring with data sharing; risk assessment with data sharing; occasional location sharing; continuous location sharing; sending notifications; sending instructions,location as gps/cell tower data;  health status; other,yes
2.2,no,active,CoronaTest Navarra,2020-05-11T20:47:19,AppStore (iOS),2020-04-04T07:00:00Z,local/regional government,health authority,yes,ESP,Europe,covid-19 specific,personalised support without data sharing; information exchange,,,
1,no,active,COVI Qatar,2020-05-01T10:08:59,AppStore (iOS),2020-03-31T07:00:00Z,health company,health authority,no,QAT,Asia,covid-19 specific,information provision; personalised support without data sharing; notifications,,,
1,yes,notactive,VírusRadar,2020-05-29T08:52:12,AppStore (iOS),2020-05-29T07:00:00Z,national government,health authority,yes,HUN,Europe,covid-19 specific,contact tracing,proximity tracking,proximity; other,yes
2.30.24,no,active,全民健保行動快易通 | 健康存摺,2020-04-24T07:00:57,AppStore (iOS),2012-11-30T01:59:14Z,national government,health authority,no,TWN,Asia,health-generic,other-health,,,
1,yes,active,TraceEkee,2020-05-10T11:12:16,AppStore (iOS),2020-05-10T11:12:16Z,national government,health authority,no,MDV,Asia,covid-19 specific,information provision; contact tracing; notifications,prevention; sending notifications; sending instructions; proximity tracking,proximity; positive status,yes
2,no,active,JobSiteCare,2020-05-15T21:23:15,AppStore (iOS),2019-03-24T05:47:33Z,health company,na,no,USA,North America,health-generic,expert support; information exchange,telemedicine; communication with a doctor,,
,no,active,Politie,,AppStore (iOS),2013-12-16T08:00:00Z,national government,no,yes,NLD,Europe,other,information provision,,,
,yes,active,TraceCovid,,AppStore (iOS),2020-04-03T07:00:00Z,national government,health authority,no,ARE,Asia,covid-19 specific,information exchange; contact tracing,continuous location sharing; sending instructions,proximity; positive status,yes
1,yes,active,My COVID-19 Tracker,2020-08-02T12:24:02,AppStore (iOS),2020-07-27T07:00:00Z,university(ies) or research centre(s),no,no,USA,North America,covid-19 specific,information provision; information exchange; contact tracing,statistics; access to health services; symptoms monitoring with data sharing; continuous location sharing,health status; other; location as province/region; location as gps/cell tower data,no
1.3,yes,active,Speetar COVID19,2020-05-11T09:19:37,AppStore (iOS),2020-04-29T07:00:00Z,health company,consortium,no,LBY,Africa,covid-19 specific,information provision; information exchange; notifications,statistics; prevention; news; access to health services; self-diagnosis with data sharing; sending notifications; sending instructions,health status; other,no
Varies with device,yes,active,Shlonik - شلونك,2020-05-11T01:01:39,AppStore (iOS),2020-04-10T07:00:00Z,national government,health authority,no,KWT,Asia,covid-19 specific,information provision; information exchange; lockdown management; notifications,prevention; news; symptoms monitoring with data sharing; communication with a doctor; mobility for citizen in lockdown,health status; proximity; location as gps/cell tower data,na
1,no,active,Movimenta-Recife,2020-04-16T18:12:39,AppStore (iOS),2020-03-25T07:00:00Z,local/regional government,no,no,BRA,South America,other,other,,,
1,no,active,EndCorona,2020-05-01T00:20:13,AppStore (iOS),2020-04-30T07:00:00Z,university(ies) or research centre(s),medicine research institute(s) university(ies),no,IDN,Asia,covid-19 specific,information provision,,,
1,yes,active,GH COVID-19 Tracker,2020-04-26T18:04:23,AppStore (iOS),2020-04-26T07:00:00Z,national government,na,no,GHA,Africa,covid-19 specific,information provision; information exchange; notifications,statistics; news; symptoms monitoring with data sharing; sending notifications,location as gps/cell tower data;  health status; other,no
1.3.1,no,active,COVA Punjab,2020-05-13T19:39:38,AppStore (iOS),2020-03-07T08:00:00Z,local/regional government,no,no,IND,Asia,covid-19 specific,information provision; personalised support without data sharing; notifications,,,
1,no,active,Tonic: Medicina para Médicos,2020-05-02T06:36:22,AppStore (iOS),2017-09-29T23:07:16Z,technology company,health authority,yes,ESP,Europe,covid-19 specific,expert support,,,
,no,active,Credencial Digital OSDE,,AppStore (iOS),2019-10-29T07:00:00Z,health company,,no,ARG,South America,health-generic,other-health,,,
,yes,active,Healthy Together - COVID-19,,AppStore (iOS),2020-04-21T07:00:00Z,local/regional government,no,no,USA,North America,covid-19 specific,information provision; contact tracing; notifications,self-diagnosis without data sharing; continuous location sharing,location as gps/cell tower data; health status,yes
1.0.4,no,active,Coronavirus Australia,2020-04-23T23:22:04,AppStore (iOS),2020-03-28T07:00:00Z,national government,health authority,no,AUS,Oceania,covid-19 specific,information provision; personalised support without data sharing; notifications,,,
,no,notactive,Covid19 ZostanZdravy,,AppStore (iOS),2020-04-15T07:00:00Z,national government,health authority,yes,SVK,Europe,covid-19 specific,information exchange,risk assessment with data sharing,,
2,no,active,CoronaISH,2020-04-11T07:26:24,AppStore (iOS),2020-04-08T07:00:00Z,local/regional government,na,no,PER,South America,covid-19 specific,information provision,,,
2.0.3,yes,active,PeduliLindungi,2020-04-30T03:28:48,AppStore (iOS),2020-04-13T07:00:00Z,national government,health authority; health facilities,no,IDN,Asia,covid-19 specific,information exchange; contact tracing,communication with a doctor; proximity tracking,proximity; location as gps/cell tower data; positive status,na
1,yes,active,Covid 19 Boyacá,2020-08-01T07:00:00,AppStore (iOS),2020-08-01T07:00:00Z,local/regional government,consortium,no,COL,South America,covid-19 specific,information provision; contact tracing,statistics; news; access to health services; self-diagnosis with data sharing; risk assessment with data sharing,health status; positive status; location as province/region; location as gps/cell tower data; other,yes
1,yes,active,Covid SafePass,2020-05-29T18:59:26,AppStore (iOS),2020-05-29T07:00:00Z,health company,consortium,no,USA,North America,covid-19 specific,expert support; personalised support without data sharing; information exchange,telemedicine; self-diagnosis without data sharing; risk assessment with data sharing,health status; other,no
0.0.3.8,no,active,Jaano,2020-04-28T18:25:36,AppStore (iOS),2020-07-18T07:00:00Z,non-profit organization,na,no,IND,Asia,covid-19 specific,information provision; information exchange; notifications,,,
1,no,active,Talli Symptom Tracker,2020-04-25T00:40:42,AppStore (iOS),2020-04-24T07:00:00Z,technology company,na,no,USA,North America,covid-19 specific,personalised support without data sharing,,,
1.1,no,active,코로나19 지침 검색,2020-04-13T01:16:00,AppStore (iOS),2020-04-24T07:00:00Z,non-profit organization,no,no,KOR,Asia,covid-19 specific,information provision; notifications,,other,no
1,yes,active,eCOVID19,2020-05-06T08:25:29,AppStore (iOS),2020-04-15T07:00:00Z,health company,health facilities,yes,AUT,Europe,covid-19 specific,information provision; information exchange; personalised support without data sharing; expert support,help in self-isolation; manage test; symptoms monitoring with data sharing; risk assessment with data sharing; telemedicine; communication with a doctor,location as gps/cell tower data; health status; other,yes
1,no,active,Pharmazam,2020-04-30T16:58:47,AppStore (iOS),2019-04-11T09:15:30Z,health company,no,no,USA,North America,other,information provision; information exchange,,,
1,no,active,COVID-19 Resource for Midwives,2020-04-28T23:41:17,AppStore (iOS),2020-04-28T23:41:17Z,non-profit organization,health facilities,no,USA,North America,covid-19 specific,expert support;  information provision,,,
1,no,notactive,COVID19 Regione Sardegna,2020-04-13T07:00:00,AppStore (iOS),2020-04-13T07:00:00Z,local/regional government,no,yes,ITA,Europe,covid-19 specific,lockdown management,,,
,no,active,GNDIEasy,,AppStore (iOS),2018-09-02T07:39:52Z,health company,no,no,BRA,South America,health-generic,information provision; information exchange; other-health,,,
1,yes,active,Operativo Escudo Hidalgo,2020-06-01T16:02:46,AppStore (iOS),2020-06-01T07:00:00Z,local/regional government,na,no,MEX,North America,covid-19 specific,information provision; personalised support without data sharing; information exchange,statistics; news; self-diagnosis with data sharing; self-diagnosis without data sharing; symptoms monitoring with data sharing; communication with a doctor,location as province/region; health status; other,no
1,no,active,City of Logan,2020-05-15T01:04:20,AppStore (iOS),2017-08-29T01:24:22Z,other type of company,health authority,no,AUS,Oceania,other,information provision; information exchange,,,
,no,active,Premier's Active April,,AppStore (iOS),2017-02-05T02:52:43Z,local/regional government,no,no,AUS,Oceania,other,information provision,,,
1,no,active,Managing your stress & anxiety,2020-05-06T21:30:36,AppStore (iOS),2020-04-21T07:00:00Z,university(ies) or research centre(s),medicine research institute(s) university(ies),no,CAN,North America,covid-19 specific,personalised support without data sharing,,,
1,no,active,InfraBR Caminhoneiro,2020-05-16T12:09:59,AppStore (iOS),2019-10-09T07:00:00Z,national government,no,no,BRA,South America,other,other,,,
,no,active,CUIDAR COVID-19 ARGENTINA,,AppStore (iOS),2020-03-27T07:00:00Z,national government,health authority,no,ARG,South America,covid-19 specific,information exchange,self-diagnosis with data sharing,,
1.2.5,no,active,Ceļo Droši,2019-12-11T19:59:09,AppStore (iOS),2014-04-10T22:46:30Z,national government,no,yes,LVA,Europe,health-generic,information provision; personalised support without data sharing,,,
1,no,active,Detector COVID-19 Toluca,2020-04-08T08:44:40,AppStore (iOS),2020-06-27T00:34:00Z,local/regional government,na,no,MEX,North America,covid-19 specific,information exchange; notifications,,,
1,no,active,Nye Health,2020-05-05T04:48:21,AppStore (iOS),2019-02-03T03:08:25Z,health company,health facilities,no,USA,North America,health-generic,information exchange; expert support,,,
1,no,active,Wabash COVID,2020-07-28T16:11:16,AppStore (iOS),2020-07-28T07:00:00Z,university(ies) or research centre(s),no,no,USA,North America,covid-19 specific,information exchange; lockdown management,,,
1.1.0,yes,active,Corona-Datenspende,2020-05-10T20:12:36,AppStore (iOS),2020-04-06T07:00:00Z,national government,health authority,yes,DEU,Europe,covid-19 specific,information exchange,symptoms monitoring with data sharing,location as province/region; health status; other,yes
,no,active,Стоп Коронавирус — Covid-19,,AppStore (iOS),2020-04-09T07:00:00Z,health company,no,no,RUS,Europe,covid-19 specific,information provision,news,,
1.2.0.12-QA_229,yes,active,Stopp Corona,2020-05-13T16:41:57,AppStore (iOS),2020-03-27T07:00:00Z,non-profit organization,health facilities,yes,AUT,Europe,covid-19 specific,information exchange; contact tracing; notifications,symptoms monitoring with data sharing; proximity tracking; sending notifications; sending instructions,proximity; health status; positive status,yes
1,no,notactive,NHS COVID-19,2020-06-28T16:34:24,AppStore (iOS),2020-05-05T07:00:00Z,national government,health authority,no,GBR,Europe,covid-19 specific,contact tracing,proximity tracking,,
1.1,no,active,COVID19 - DXB Responder,2020-05-10T07:02:15,AppStore (iOS),2020-04-03T07:00:00Z,national government,health authority,no,ARE,Asia,covid-19 specific,expert support; information provision; notifications,,,
1,no,active,LaPazCovid19,2020-06-24T08:47:54,AppStore (iOS),2020-06-24T07:00:00Z,local/regional government,no,no,BOL,South America,covid-19 specific,information provision; personalised support without data sharing,access to health services; self-diagnosis without data sharing; risk assessment without data sharing,,
1,no,active,Bupa Aged Care Connect,2020-04-20T16:41:30,AppStore (iOS),2020-04-03T07:00:00Z,health company,health facilities,no,AUS,Oceania,covid-19 specific,expert support; notifications; information provision; information exchange,monitor overall situation; telemedicine; prevention; news; access to health services; manage self-isolation; communication with a doctor; sending notifications,,
1,yes,active,Allina Health account,2020-05-08T13:32:34,AppStore (iOS),2017-08-25T21:41:26Z,health company,health facilities,no,USA,North America,health-generic,information provision; information exchange; expert support,telemedicine; symptoms monitoring with data sharing; communication with a doctor,health status; positive status; location as gps/cell tower data; other,no
,no,notactive,CovidMX,,AppStore (iOS),2020-04-03T07:00:00Z,health company,no,no,MEX,North America,covid-19 specific,information provision,news,,
1,no,active,iHelp Sunshine Coast,2020-05-17T11:45:29,AppStore (iOS),2019-10-16T07:00:00Z,non-profit organization,no,no,AUS,Oceania,other,other,,,
1,no,active,RATI,2020-04-18T11:03:35,AppStore (iOS),2020-04-18T07:00:00Z,national government,health authority,no,IND,Asia,covid-19 specific,expert support,,,
1,no,active,CovidCare - Symptom monitor,2020-07-28T00:03:08,AppStore (iOS),2020-07-27T07:00:00Z,university(ies) or research centre(s),consortium,no,AUS,Oceania,covid-19 specific,personalised support without data sharing,,,
1,yes,active,COVID-19 Quarantine Monitor,2020-05-09T00:38:27,AppStore (iOS),2020-05-08T07:00:00Z,local/regional government,health authority,no,IND,Asia,covid-19 specific,information exchange; lockdown management,symptoms monitoring with data sharing; manage self-isolation; mobility for citizen in lockdown,location as gps/cell tower data; health status; other,no
1,no,active,LinguApp,2020-05-07T11:19:50,AppStore (iOS),2020-04-22T07:00:00Z,university(ies) or research centre(s),health facilities; medicine research institute(s) university(ies),yes,ITA,Europe,health-generic,expert support,telemedicine,,
1.4.21,yes,notactive,CoronApp,2020-03-15T20:58:25,AppStore (iOS),2020-04-15T07:00:00Z,national government,health authority,no,ISR,Asia,covid-19 specific,information provision; information exchange; lockdown management; notifications,statistics; prevention; access to health services; manage self-isolation; communication with a doctor; mobility for citizen in lockdown,health status; gpsoptional; other,yes
0.0.6,no,active,Haryana Sahayak,2020-04-16T15:53:13,AppStore (iOS),2020-04-29T07:00:00Z,local/regional government,consortium,no,IND,Asia,covid-19 specific,information provision; personalised support without data sharing; information exchange; lockdown management,,,
,yes,active,자가격리자 전담공무원,,AppStore (iOS),2020-03-13T07:00:00Z,national government,health authority,no,KOR,Asia,covid-19 specific,information provision,prevention,positive status; health status,yes
1,no,active,COVID Radar,2020-04-19T07:00:00,AppStore (iOS),2020-04-19T07:00:00Z,university(ies) or research centre(s),consortium,yes,NLD,Europe,covid-19 specific,information exchange,,,
,no,active,Госуслуги СТОП Коронавирус,,AppStore (iOS),2020-04-01T07:00:00Z,local/regional government,health authority,no,RUS,Europe,covid-19 specific,lockdown management,exit management,,
1.0.1,no,active,Combate Coronavírus,2020-05-12T18:41:50,AppStore (iOS),2020-07-02T07:00:00Z,non-profit organization,no,no,BRA,South America,covid-19 specific,information provision; information exchange,,,
1.12.0,no,active,Kavach,2020-05-09T18:16:23,AppStore (iOS),2020-04-27T07:00:00Z,local/regional government,na,no,IND,Asia,covid-19 specific,information provision; personalised support without data sharing; notifications,,,
2,no,active,CoronaFACTS,2020-05-12T17:17:32,AppStore (iOS),2020-03-28T07:00:00Z,health company,health facilities,no,USA,North America,covid-19 specific,information provision,,,
1,no,active,Colima COVID-19,2020-07-02T12:56:09,AppStore (iOS),2020-07-02T07:00:00Z,local/regional government,health authority,no,MEX,North America,covid-19 specific,personalised support without data sharing; information exchange,,,
2,yes,active,BMC Combat Covid19,2020-04-13T11:19:09,AppStore (iOS),2020-04-13T11:19:09Z,local/regional government,no,no,IND,Asia,covid-19 specific, information exchange; contact tracing,symptoms monitoring with data sharing; occasional location sharing,location as gps/cell tower data; health status,no
1.17.0,no,active,BC COVID-19 Support,2020-05-15T21:18:54,AppStore (iOS),2020-03-22T07:00:00Z,local/regional government,health authority,no,CAN,North America,covid-19 specific,information provision; personalised support without data sharing; notifications,,,
1.0.0,yes,active,CONFINAPP,2020-04-07T15:22:27,AppStore (iOS),2020-04-07T07:00:00Z,local/regional government,na,yes,ESP,Europe,covid-19 specific,information provision; information exchange; lockdown management; notifications,prevention; news; sending notifications; exit management; manage self-isolation,,na
1,no,active,Cachoeirinha ContraCoronavírus,2020-04-18T16:33:30,AppStore (iOS),2020-03-24T07:00:00Z,local/regional government,health facilities,no,BRA,South America,covid-19 specific,information provision; personalised support without data sharing; information exchange,,,
1,no,active,Beebe COVID-19 Screening Tool,2020-07-10T20:23:49,AppStore (iOS),2020-07-10T07:00:00Z,health company,health facilities,no,USA,North America,covid-19 specific,personalised support without data sharing; information exchange,,,
1,yes,active,CovidPR,2020-05-29T18:10:04,AppStore (iOS),2020-06-13T07:00:00Z,local/regional government,consortium,no,BRA,South America,covid-19 specific,expert support; information provision; information exchange; contact tracing; notifications,monitor overall situation; news; self-diagnosis with data sharing; occasional location sharing; sending instructions,health status; other,yes
1.0.0,no,active,GVA Coronavirus,2020-04-07T10:18:48,AppStore (iOS),2020-04-08T07:00:00Z,local/regional government,health authority,yes,ESP,Europe,covid-19 specific,expert support; information provision; information exchange; personalised support without data sharing,,,
1,no,active,Covid-19 Advisor,2020-05-12T01:25:47,AppStore (iOS),2020-05-12T01:25:47Z,health company,no,no,USA,North America,covid-19 specific,information provision; information exchange,,,
3.4,no,active,COVID19 - DXB Smart App,2020-05-10T11:43:20,AppStore (iOS),2020-04-02T07:00:00Z,national government,health authority,no,UAE,Asia,covid-19 specific,information provision,,,
1,no,active,NHSGGC COVID-19,2020-07-21T09:40:20,AppStore (iOS),2020-07-21T07:00:00Z,local/regional government,health authority,no,GBR,Europe,covid-19 specific,expert support,,,
1.2.0,yes,active,COVID AP-HM,2020-03-15T01:24:44,AppStore (iOS),2020-03-18T07:00:00Z,technology company,health facilities,yes,FRA,Europe,covid-19 specific,expert support; information exchange,telemedicine; symptoms monitoring with data sharing; risk assessment with data sharing; communication with a doctor,health status; positive status; other,yes
1,no,active,COVID-19 Wisconsin Connect,2020-05-14T22:39:04,AppStore (iOS),2020-05-14T07:00:00Z,university(ies) or research centre(s),medicine research institute(s) university(ies),no,USA,North America,covid-19 specific,information provision; information exchange,,,
1,yes,notactive,ProtectWell Checker,2020-05-07T13:17:32,AppStore (iOS),2020-04-08T07:00:00Z,health company,no,no,USA,North America,covid-19 specific,information exchange; lockdown management,mobility checking,location as province/region; location as gps/cell tower data; other,yes
1,no,active,Loop Health,2020-05-12T08:08:44,AppStore (iOS),2020-02-12T08:00:00Z,health company,health facilities,no,USA,North America,health-generic,other-health,,,
1,yes,active,Corona-Warn-App,2020-06-15T23:59:34,AppStore (iOS),2020-06-15T07:00:00Z,university(ies) or research centre(s),no,yes,DEU,Europe,covid-19 specific,information provision; contact tracing; notifications,prevention; sending notifications; sending instructions; proximity tracking,proximity; positive status,yes
1,no,active,Osler COVID Learning Centre,2020-04-18T23:11:56,AppStore (iOS),2020-04-18T23:11:56Z,health company,na,no,USA,North America,covid-19 specific,expert support,,,
1.0.1,no,active,El Cabildo en tu móvil,2020-04-03T17:35:09,AppStore (iOS),2020-03-28T07:00:00Z,local/regional government,no,yes,ESP,Europe,health-generic,information provision; notifications,,,
1.0.5,no,active,Covid-19  Armenia,2020-04-08T10:39:00,AppStore (iOS),2020-04-18T14:36:09Z,national government,na,no,ARM,Europe,covid-19 specific,information provision; personalised support without data sharing,,,
1.2.6,yes,notactive,Sardegna Sicura,2020-06-12T15:23:11,AppStore (iOS),2020-06-11T07:00:00Z,local/regional government,no,yes,ITA,Europe,covid-19 specific,contact tracing; lockdown management,continuous location sharing; mobility checking,proximity; location as gps/cell tower data; other,no
1,no,active,JamCOVID19,2020-05-14T19:14:20,AppStore (iOS),2020-04-23T07:00:00Z,national government,health authority,no,JAM,North America,covid-19 specific,information provision; information exchange;  notifications,,,
1,no,active,Army PCS Move,2020-05-09T01:57:39,AppStore (iOS),2020-04-10T07:00:00Z,national government,no,no,USA,North America,other,information provision,,,
1,no,active,COVID AI,2020-05-14T17:21:50,AppStore (iOS),2020-04-26T07:00:00Z,health company,consortium,no,USA,North America,covid-19 specific,expert support,,,
1,no,active,NIOSH PPE Tracker,2020-04-29T15:51:17,AppStore (iOS),2020-04-29T07:00:00Z,national government,health authority,no,USA,North America,covid-19 specific,expert support,,,
1.0.5,no,active,COVID-19 Tam,2020-04-24T18:34:10,AppStore (iOS),2020-03-30T07:00:00Z,national government,health authority,no,MEX,North America,covid-19 specific,information provision,,,
1,yes,active,COVID VS,2020-06-24T15:29:32,AppStore (iOS),2020-06-15T07:00:00Z,health company,no,no,NZL,Oceania,covid-19 specific,information provision; expert support; information exchange; lockdown management,prevention; manage test; symptoms monitoring with data sharing; risk assessment with data sharing; mobility checking,health status; other,yes
1.0.10,yes,active,CoronaMadrid,2020-05-07T07:44:40,AppStore (iOS),2020-03-23T07:00:00Z,local/regional government,health authority,yes,ESP,Europe,covid-19 specific,information provision; information exchange;  notifications,access to health services; risk assessment with data sharing; sending notifications; sending instructions,health status; proximity; gpsoptional; other,na
1,no,active,BCBSOK,2020-04-29T12:57:44,AppStore (iOS),2012-11-02T22:18:32Z,health company,health facilities,no,USA,North America,health-generic,information provision,,,
1,yes,active,NL-SOJO COVID,2020-06-04T18:23:42,AppStore (iOS),2020-06-04T07:00:00Z,local/regional government,health facilities,no,IND,Asia,covid-19 specific,information provision; information exchange; notifications; lockdown management,statistics; news; symptoms monitoring with data sharing; risk assessment with data sharing; sending notifications; mobility for citizen in lockdown,location as gps/cell tower data; health status; other,na
1,no,active,SaludZac,2020-05-12T17:58:43,AppStore (iOS),2019-03-03T06:36:21Z,local/regional government,health facilities,no,MEX,North America,health-generic,information provision; information exchange; personalised support without data sharing; expert support,,,
1,yes,active,COCOA - 新型コロナウイルス接触確認アプリ,2020-06-19T05:58:32,AppStore (iOS),2020-06-18T07:00:00Z,national government,health authority,no,JPN,Asia,covid-19 specific,information provision; contact tracing; notifications,prevention; sending notifications; sending instructions; proximity tracking,proximity; positive status,yes
1.0.0,no,active,CAIXA | Auxílio Emergencial,2020-04-07T03:01:33,AppStore (iOS),2020-04-06T07:00:00Z,other type of company,no,no,BRA,South America,other,other,,,
,no,active,Apple COVID-19,,AppStore (iOS),2020-03-27T07:00:00Z,technology company,no,no,USA,North America,covid-19 specific,expert support,self-diagnosis with data sharing; telemedicine,,
1,no,active,Inst'AMU,2020-05-24T22:04:12,AppStore (iOS),2020-05-24T07:00:00Z,university(ies) or research centre(s),no,yes,FRA,Europe,covid-19 specific,information provision,,,
1.0.2,yes,active,NZ COVID Tracer,2020-05-20T10:36:19,AppStore (iOS),2020-05-19T07:00:00Z,national government,health authority,no,NZL,Oceania,covid-19 specific,contact tracing,occasional location sharing,proximity; location as province/region; health status; positive status; other,yes
4.1.1,yes,active,ProteGO Safe,2020-06-08T17:06:39,AppStore (iOS),2020-04-30T07:00:00Z,national government,health authority,yes,POL,Europe,covid-19 specific,information provision; information exchange; contact tracing; notifications,statistics; prevention; medication; news; symptoms monitoring with data sharing; risk assessment with data sharing; communication with a doctor; proximity tracking; sending notifications; sending instructions,proximity; health status; positive status; other,yes
1,no,active,Zava Arzt: Video Sprechstunde,2020-05-07T10:52:43,AppStore (iOS),2020-04-22T07:00:00Z,health company,health facilities,yes,DEU,Europe,covid-19 influenced,information exchange; expert support,,,
1,no,active,ProjectCovid - Verified Info,2020-07-06T03:17:30,AppStore (iOS),2020-07-01T07:00:00Z,non-profit organization,no,no,USA,North America,covid-19 specific,information provision; notifications,,,no
1.5.1,yes,active,MorChana - หมอชนะ,2020-04-28T17:35:41,AppStore (iOS),2020-04-06T07:00:00Z,national government,na,no,THA,Asia,covid-19 specific,information provision; information exchange; personalised support without data sharing; contact tracing ,occasional location sharing; sending notifications,health status; proximity; location as gps/cell tower data,no
,no,active,healthdirect,,AppStore (iOS),2015-10-18T02:45:53Z,health company,no,no,AUS,Oceania,covid-19 specific,information provision,self-diagnosis without data sharing; news,,
1.0.30,yes,active,MyTrace,2020-04-26T13:53:45,AppStore (iOS),2020-05-26T07:00:00Z,national government,health authority,no,MYS,Asia,covid-19 specific,contact tracing,proximity tracking,proximity; positive status,no
11.3,no,active,Vecino Salud,2020-04-18T16:25:59,AppStore (iOS),2020-04-14T07:00:00Z,local/regional government,na,no,ARG,South America,covid-19 specific,information provision; personalised support without data sharing,,,
1,no,active,T Covid'19,2020-04-15T16:08:31,AppStore (iOS),2020-04-10T07:00:00Z,local/regional government,na,no,IND,Asia,covid-19 specific,information provision,,,
1,yes,active,COVTRAC,2020-04-28T03:59:24,AppStore (iOS),2020-04-15T07:00:00Z,health company,health facilities,no,SGP,Asia,covid-19 specific,information exchange; notifications,symptoms monitoring with data sharing; sending notifications,health status,no
1.1.0,no,active,ผู้พิทักษ์ไทยชนะ,2020-05-24T19:20:09,AppStore (iOS),2020-06-11T07:00:00Z,other type of company,health authority,no,THA,Asia,covid-19 specific,information exchange,,,
1.2,no,active,COVAPP,2020-04-07T14:07:21,AppStore (iOS),2020-03-25T07:00:00Z,local/regional government,consortium; health authority,no,MEX,North America,covid-19 specific,personalised support without data sharing,,,
1,no,notactive,Estamos ON - Covid19,2020-04-13T04:09:52,AppStore (iOS),2020-04-13T04:09:52Z,national government,consortium,yes,PRT,Europe,covid-19 specific,information provision; lockdown management,continuous location sharing,,
1,yes,active,HealthMode Cough,2020-04-30T17:24:29,AppStore (iOS),2020-04-09T07:00:00Z,health company,no,no,USA,North America,covid-19 influenced,information exchange,symptoms monitoring with data sharing,health status,no
1,no,active,COVID-19 Virginia Resources,2020-04-27T19:01:55,AppStore (iOS),2020-04-27T19:01:55Z,local/regional government,health authority,no,USA,North America,covid-19 specific,information provision,,,
1,no,active,( Tetamman ) تطمن,2020-05-22T16:33:20,AppStore (iOS),2020-03-25T07:00:00Z,national government,health authority,no,SAU,Asia,covid-19 specific,information provision; information exchange; notifications; lockdown management; other-health,prevention; symptoms monitoring with data sharing; communication with a doctor; sending notifications; mobility for citizen in lockdown,,
1,no,active,COVID Protocols,2020-06-02T20:25:22,AppStore (iOS),2020-06-02T07:00:00Z,university(ies) or research centre(s),na,no,USA,North America,covid-19 specific,expert support; information exchange,,,
,yes,active,PathCheck SafePlaces,,AppStore (iOS),2020-05-02T07:00:00Z,health company,no,no,USA,North America,covid-19 specific,contact tracing,continuous location sharing,location as gps/cell tower data; proximity; health status,yes
1,no,notactive,中国蓝新闻Pro,2020-04-20T13:57:16,AppStore (iOS),2020-04-20T07:00:00Z,technology company,no,no,CHN,Asia,other,other; information provision,,,
1,no,active,Koronavirus COVID-19,2020-04-01T15:55:09,AppStore (iOS),2020-04-01T07:00:00Z,university(ies) or research centre(s),medicine research institute(s) university(ies),yes,CZE,Europe,covid-19 specific,information provision,,,
1.0.1,no,active,Korona Önlem,2020-04-20T15:07:37,AppStore (iOS),2020-03-21T07:00:00Z,national government,health authority,no,TUR,Europe,covid-19 specific,information provision; information exchange,,,
1,yes,active,Protect Texas Together,2020-07-29T23:43:47,AppStore (iOS),2020-07-29T07:00:00Z,university(ies) or research centre(s),no,no,USA,North America,covid-19 specific,information provision; information exchange; lockdown management; contact tracing,statistics; news; prevention; symptoms monitoring with data sharing; risk assessment with data sharing; mobility checking; proximity tracking,health status; positive status; location as province/region; location as gps/cell tower data; proximity; other,yes
1,no,active,NHS24:Covid-19,2020-04-13T13:41:52,AppStore (iOS),2020-04-13T13:41:52Z,local/regional government,health authority,no,GBR,Europe,covid-19 specific,information provision; personalised support without data sharing,,,
,no,active,CDC,,AppStore (iOS),2011-12-13T02:57:05Z,national government,no,no,USA,North America,health-generic,information provision,,,
1,no,notactive,COVID-19 Daily,2020-04-17T07:00:00,AppStore (iOS),2020-04-17T07:00:00Z,health company,no,no,USA,North America,covid-19 specific,information provision,,,
,no,active,RajCovidInfo,,AppStore (iOS),2020-04-24T07:00:00Z,national government,no,no,IND,Asia,covid-19 specific,information provision,access to health services,,
1.4,no,active,Budapest Tizenöt,2020-05-11T17:00:53,AppStore (iOS),2020-04-15T07:00:00Z,technology company,no,yes,HUN,Europe,health-generic,expert support,,,
1,no,active,Obvio-19,2020-05-01T15:11:13,AppStore (iOS),2020-04-22T07:00:00Z,health company,no,no,USA,North America,covid-19 specific, information exchange,,,
1,no,active,Ser positivo contra COVID,2020-05-11T13:48:57,AppStore (iOS),2020-05-11T07:00:00Z,university(ies) or research centre(s),consortium,no,AGO,Africa,covid-19 specific,information provision; personalised support without data sharing,,,
1,no,active,COVID Care Graubünden,2020-06-16T22:47:39,AppStore (iOS),2020-06-16T07:00:00Z,local/regional government,health authority,no,CHE,Europe,covid-19 specific,expert support,monitor overall situation; telemedicine; help in self-isolation,,
1.3.3,yes,active,RC143,2020-04-20T09:43:22,AppStore (iOS),2020-06-12T07:00:00Z,non-profit organization,health authority,no,PHL,Asia,covid-19 specific,notifications; contact tracing,proximity tracking; continuous location sharing; sending instructions,proximity; location as gps/cell tower data; positive status; other,no
1.0.0,no,active,Corona Map,2020-03-18T13:10:08,AppStore (iOS),2020-03-18T07:00:00Z,national government,health authority,no,SAU,Asia,covid-19 specific,information provision,,,
